word,count,happs_score,stddev
cincinnati,1,5.48,1.4741
senator,2,4.58,1.4299
died,4,1.56,1.198
opponents,2,3.48,1.0925
plot,4,5.26,1.3822
refused,2,3.38,1.4553
sick,1,2.02,1.0784
woman,3,6.84,1.6458
joined,2,6.3,1.0926
secretary,8,5.42,1.3107
asia,1,6.22,1.9513
trip,5,7.0,1.5518
short,1,4.46,1.1466
tests,3,4.28,1.6787
columbia,2,5.44,1.473
spaces,1,5.62,1.0237
ask,2,5.2,1.8736
proof,1,5.96,1.0683
spy,2,4.24,1.7677
tool,1,5.26,1.5361
legislators,1,4.2,1.8844
rule,1,4.52,1.5285
cold,2,4.22,1.7761
desperation,1,2.7,1.9086
hold,1,5.7,1.2164
mask,12,4.86,1.2456
place,1,5.56,1.198
petition,1,4.8,1.5778
declare,2,5.57,1.3472
sharing,1,7.06,1.2843
border,6,4.9,1.488
advance,2,6.58,1.3262
rush,3,4.12,1.3649
pass,1,5.9,1.4321
bills,1,2.82,1.6374
ends,2,3.78,1.4886
needed,1,5.46,1.4875
grow,1,6.68,1.2196
set,6,5.58,1.1968
elizabeth,2,6.14,1.7263
fully,1,6.18,1.2237
visitors,1,6.32,1.6956
hospitals,4,3.54,1.5677
capacity,1,5.5,1.4178
iraq,2,3.9,1.6568
leading,2,6.64,1.5086
figure,1,5.5,1.1473
victoria,3,5.88,1.2395
allow,1,6.0,1.4708
stranded,1,3.73,1.8905
residents,3,5.66,1.2715
family,3,7.72,1.3099
employee,2,5.74,1.192
car,3,6.72,2.1
accident,1,2.32,1.5178
plays,3,6.72,1.5784
taking,1,5.32,1.3005
patients,2,3.66,1.4086
grants,1,6.7,1.2495
end,4,4.36,1.7351
kentucky,2,5.8,1.2778
texas,4,5.54,1.2324
ban,3,2.66,1.3188
goes,6,5.26,1.1214
blocks,2,4.54,1.4172
fled,3,3.98,1.1692
voting,2,6.02,1.3775
make,2,6.0,0.9897
unite,1,6.64,1.1911
broadcasting,1,5.68,1.3161
headquarters,1,5.4,1.0102
olympics,1,7.02,1.3476
series,2,5.46,0.9304
run,1,5.48,1.432
carolina,2,5.44,1.514
vermont,1,5.58,1.295
partially,1,5.24,1.3024
eligible,1,6.66,1.2715
toll,2,4.06,1.0956
showed,1,5.74,1.0063
huge,3,6.14,1.7025
international,3,6.56,1.2643
racial,1,4.0,1.7261
conservatives,2,4.08,1.9984
vote,7,5.8,1.5779
extends,1,5.56,1.0134
month,1,5.18,1.3354
follows,1,5.06,1.6088
europe,2,6.4,1.7613
sees,5,5.76,1.4078
course,1,5.42,1.3716
games,2,7.32,1.2196
committee,1,5.12,1.2395
mean,3,3.68,1.9213
criticized,2,3.02,1.5713
video,5,6.48,1.111
asked,2,5.36,1.2739
ron,1,5.0,0.7284
pardon,1,5.8,1.6288
city,10,5.76,1.546
universities,1,6.56,1.6801
spain,2,6.2,1.6903
ended,3,3.84,1.4479
streets,1,5.64,1.2415
voluntary,1,6.37,1.2365
departure,1,4.76,1.5194
personnel,1,5.38,1.1045
counties,1,5.22,1.016
level,1,5.6,0.9897
airlines,1,5.6,1.5908
flights,2,5.98,1.8897
continue,2,5.76,1.0214
faces,5,6.2,1.4569
resources,1,6.46,1.1466
investigation,3,4.02,1.4776
origins,1,5.4,1.5122
hawaii,2,7.02,1.6841
aim,1,5.86,1.1068
powers,2,6.66,1.3188
foes,1,3.43,1.3229
live,2,6.84,1.5167
work,2,5.24,2.105
tricky,1,4.46,1.5806
getting,1,5.68,1.1856
shop,1,6.76,1.0412
owner,1,6.1,1.5419
includes,1,5.88,1.5205
mexico,4,5.84,1.7186
sector,1,4.9,1.233
favor,1,6.0,2.0603
parents,2,7.36,1.5086
burn,1,2.92,1.3377
demonstration,1,5.88,1.2185
steps,4,5.38,1.1229
analysis,1,5.8,1.4286
did,1,5.58,1.1265
year,1,5.38,1.3536
economists,1,4.92,1.4824
memphis,1,5.42,1.5661
wasted,1,2.78,1.1657
lost,4,2.76,1.3933
montana,1,5.44,1.2803
improving,1,6.96,0.8797
goal,1,7.02,1.2204
limited,2,4.22,1.1657
seeking,2,5.6,1.1429
cross,2,4.68,1.7076
quit,1,3.9,1.4604
looking,1,5.94,0.9775
bringing,3,6.04,1.1421
dining,1,6.48,1.7524
soon,1,6.34,0.8947
groups,2,5.66,1.3032
legal,1,5.18,1.746
notice,1,5.16,1.5032
warning,3,3.34,1.423
driving,2,6.18,1.6499
demanding,1,3.7,1.6194
facing,1,5.26,1.1031
possible,5,6.24,1.598
declined,1,3.16,1.5434
soccer,3,6.44,1.5407
feeling,1,5.7,1.5152
stream,4,6.42,1.4995
site,1,5.32,0.7939
backs,5,5.34,1.4373
votes,1,6.08,1.5758
agency,6,5.26,0.9216
voices,1,5.56,1.5005
united,2,7.32,1.2027
helped,4,7.28,1.2943
firm,1,5.32,1.1683
status,1,5.62,1.1761
cyber,1,5.88,1.4797
removed,1,3.72,1.3856
doubts,1,3.3,1.4321
identity,1,5.98,1.1156
spark,1,6.26,1.6637
recognize,13,6.08,1.4119
supports,1,6.22,1.5292
newly,2,6.5,1.2495
bishop,1,5.3,1.6194
red,1,5.56,1.6183
silence,1,5.14,1.738
sales,2,5.8,1.1066
crossed,1,4.7,1.374
river,1,6.68,1.3316
marked,1,4.92,1.2911
